current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Gam3Girl Ventures,9745.0,IS INCOMPLETE,Gam3Girl Ventures,,,3960,Direct match or manual
Game Swing,1997.0,IMPORTED,Game Swing,,,2054,Direct match or manual
Game7,7894.0,IS INCOMPLETE,Game7,,,3763,Direct match or manual
GameCene,3212.0,IMPORTED,GameCene,,,3332,Direct match or manual
GameChanger Systems,2458.0,IMPORTED,GameChanger Systems,,,3105,Direct match or manual
GameDriver,459.0,IMPORTED,GameDriver,,,"3250, 3070",Direct match or manual
GameOn,2943.0,IMPORTED,GameOn,,,2854,Direct match or manual
GamePhilos Studio,2113.0,IMPORTED,GamePhilos Studio,,GamePhilos,2984,Direct match or manual
GameSquare Esports,708.0,ENABLED,GameSquare Esports,NASDAQ: GAME,GameSquare Esports (NASDAQ: GAME),"489, 906",Direct match or manual
GameStake Technologies,1020.0,IMPORTED,GameStake Technologies,,,2917,Direct match or manual
GameStop,389.0,ENABLED,GameStop,NYSE: GME,GameStop (NYSE:GME),"1012, 3462, 3670",Direct match or manual
GameStream,437.0,IMPORTED,GameStream,,,3269,Direct match or manual
GameTree,3149.0,IMPORTED,GameTree,,,"3102, 3845",Direct match or manual
Gamebeast,439.0,IMPORTED,Gamebeast,,,3733,Direct match or manual
Gamecity Hamburg,44.0,ENABLED,Gamecity Hamburg,,,"4040, 4042, 4043, 4045, 4047, 4049",Direct match or manual
Gamefam,3066.0,ENABLED,Gamefam,,,3136,Direct match or manual
Gamelancer,452.0,IMPORTED,Gamelancer,,,"51, 2518, 3188",Direct match or manual
Gamer Pakistan,2433.0,IMPORTED,Gamer Pakistan,,,3025,Direct match or manual
Gameram,3165.0,IMPORTED,Gameram,,,4135,Direct match or manual
Gamerji,3381.0,IMPORTED,Gamerji,,,"18, 2492",Direct match or manual
Gamersfy,3392.0,IMPORTED,Gamersfy,,,313,Direct match or manual
GamerzClass,679.0,IMPORTED,GamerzClass,,,67,Direct match or manual
Games United,3164.0,IMPORTED,Games United,,,2575,Direct match or manual
Games24x7,3434.0,IMPORTED,Games24x7,,,1964,Direct match or manual
Gamesbandy,3156.0,IMPORTED,Gamesbandy,,,988,Direct match or manual
Gameway,3086.0,IMPORTED,Gameway,,,3506,Direct match or manual
Gamindo,1660.0,ENABLED,Gamindo,,Ofree Srl,1253,Direct match or manual
Gaming Factory,479.0,IMPORTED,Gaming Factory,WSE:GIF,Gaming Factory (WSE:GIF),330,Direct match or manual
Gamurs,2143.0,IMPORTED,Gamurs,,GAMURS Group,550,Direct match or manual
Gangbusters,2152.0,IMPORTED,Gangbusters,,,2387,Direct match or manual
GapMinder,10802.0,IS INCOMPLETE,GapMinder,,,3948,Direct match or manual
Garena,3735.0,ENABLED,Garena,Free Fire,,837,Direct match or manual
Gaxos.AI,1037.0,IMPORTED,Gaxos.AI,,,"3262, 3813",Direct match or manual
Gee Roberson Management,8834.0,IS INCOMPLETE,Gee Roberson Management,,,2215,Direct match or manual
Geewa,664.0,IMPORTED,Geewa,,,68,Direct match or manual
GenPop Interactive,1003.0,IMPORTED,GenPop Interactive,,,3121,Direct match or manual
Genblock Capital,7880.0,IS INCOMPLETE,Genblock Capital,,,2114,Direct match or manual
General Atlantic,378.0,ENABLED,General Atlantic,,,1700,Direct match or manual
General Catalyst,426.0,ENABLED,General Catalyst,,,"2535, 2802, 4132",Direct match or manual
Generation Highway Ltd,9830.0,IS INCOMPLETE,Generation Highway Ltd,,,2198,Direct match or manual
Genies,697.0,IMPORTED,Genies,,,1033,Direct match or manual
Gesinimo Games,2399.0,IMPORTED,Gesinimo Games,,,2950,Direct match or manual
Gfinity,787.0,IMPORTED,Gfinity,LON: GFIN,Gfinity(LON: GFIN),"151, 2633",Direct match or manual
Ghost Ship Games,3358.0,IMPORTED,Ghost Ship Games,,,"2054, 2055, 2658",Direct match or manual
Ginger Joy,2502.0,IMPORTED,Ginger Joy,,,3209,Direct match or manual
Glisco Partners,8662.0,IS INCOMPLETE,Glisco Partners,,,2869,Direct match or manual
Global Play Media,9835.0,IS INCOMPLETE,Global Play Media,,,2819,Direct match or manual
Glorious,2184.0,IMPORTED,Glorious,,,2447,Direct match or manual
Glu Mobile,73.0,ENABLED,Glu Mobile,NAS: GLUU,Glu Mobile (NAS: GLUU),239,Direct match or manual
Goal Ventures,3770.0,ENABLED,Goal Ventures,,,2756,Direct match or manual
Gobi Partners,3486.0,ENABLED,Gobi Partners,Gobi Partners Greater Bay Area,,3843,Direct match or manual
Gold Rush,1220.0,IMPORTED,Gold Rush,,,242,Direct match or manual
Gold Town Game,8411.0,IS INCOMPLETE,Gold Town Game,,,1120,Direct match or manual
Golden Tree Asset Management,9807.0,IS INCOMPLETE,Golden Tree Asset Management,,,1982,Direct match or manual
Golden Ventures,8933.0,IS INCOMPLETE,Golden Ventures,,,373,Direct match or manual
Gomble Games,626.0,ENABLED,Gomble Games,"Gomble, GOMBLE.IO",,2776,Direct match or manual
Good Dog Studios,2340.0,IMPORTED,Good Dog Studios,,,2808,Direct match or manual
Good Game Guild,1081.0,IMPORTED,Good Game Guild,Good Game,Good Games Guild (GGG),1612,Direct match or manual
Good Gaming,2917.0,IMPORTED,Good Gaming,OTCPK:GMER,Good Gaming (OTCPK:GMER),1514,Direct match or manual
Goodwater Capital,3722.0,ENABLED,Goodwater Capital,,,3102,Direct match or manual
Gotiva Games,1785.0,IMPORTED,Gotiva Games,,,1582,Direct match or manual
Graffiti Games,3104.0,IMPORTED,Graffiti Games,,,942,Direct match or manual
Grand Pike,1609.0,IMPORTED,Grand Pike,,,1120,Direct match or manual
Gravity Fund,9316.0,IS INCOMPLETE,Gravity Fund,,,2781,Direct match or manual
Gray Wolves,2658.0,IMPORTED,Gray Wolves,,,3558,Direct match or manual
Green Grey,8619.0,IS INCOMPLETE,Green Grey,,,1210,Direct match or manual
Green Mont Fund,9850.0,IS INCOMPLETE,Green Mont Fund,,,1536,Direct match or manual
Greylock Partners,373.0,ENABLED,Greylock Partners,,,3933,Direct match or manual
Grid Esports,2969.0,IMPORTED,Grid Esports,,,969,Direct match or manual
Grid Rival,3440.0,IMPORTED,Grid Rival,,,2690,Direct match or manual
Griffin Gaming Partners,50.0,ENABLED,Griffin Gaming Partners,Griffing Gaming,,"4048, 4086, 4154, 4162",Direct match or manual
Growth Capital (VGC),11028.0,IS INCOMPLETE,Growth Capital (VGC),,,2355,Direct match or manual
Guild Esports,726.0,IMPORTED,Guild Esports,LSE:GILD,Guild Esports (LSE:GILD),"464, 3049",Direct match or manual
Gulliver's Games,714.0,IMPORTED,Gulliver's Games,,,2306,Direct match or manual
Gunzilla Games,736.0,ENABLED,Gunzilla Games,,,3730,Direct match or manual
Guotai Junan International,11088.0,IS INCOMPLETE,Guotai Junan International,,,721,Direct match or manual
HAVA Media Resources,2229.0,IMPORTED,HAVA Media Resources,"N4G.com, FilmWatch, TechSpy, AnimeShinbun, HAVA Media","N4G.com, FilmWatch, TechSpy, AnimeShinbun (HAVA Media)",2569,Direct match or manual
HOF Capital,11399.0,IS INCOMPLETE,HOF Capital,,,4081,Direct match or manual
HQ Trivia,3027.0,ENABLED,HQ Trivia,,,146,Direct match or manual
HTC Corporation,3768.0,ENABLED,HTC Corporation,,HTC Corp.,3446,Direct match or manual
Half Past Yellow,1998.0,IMPORTED,Half Past Yellow,,,2055,Direct match or manual
Halfbrick Studios,2507.0,IMPORTED,Halfbrick Studios,,,3217,Direct match or manual
Hartmann Capital,10088.0,IS INCOMPLETE,Hartmann Capital,,,4041,Direct match or manual
HashKey Fintech Investment Fund,9164.0,IS INCOMPLETE,HashKey Fintech Investment Fund,,,"1070, 1186",Direct match or manual
Hashed,349.0,ENABLED,Hashed,,,"2666, 1522, 4125",Direct match or manual
Hashkey Capital,420.0,ENABLED,Hashkey Capital,,"Hashkey,HashKey","3960, 3356, 1612",Direct match or manual
Haveli Investments,52.0,ENABLED,Haveli Investments,,,2171,Direct match or manual
Headline,332.0,ENABLED,Headline,,,3428,Direct match or manual
Health Wildcatters,8495.0,IS INCOMPLETE,Health Wildcatters,,,3633,Direct match or manual
Heart Beat,8661.0,IS INCOMPLETE,Heart Beat,,,2869,Direct match or manual
Heracles Capital,53.0,ENABLED,Heracles Capital,,,2155,Direct match or manual
Heroic Group,854.0,IMPORTED,Heroic Group,,,2738,Direct match or manual
Heroic Ventures,7857.0,IS INCOMPLETE,Heroic Ventures,,,2802,Direct match or manual
Hiber World,482.0,ENABLED,Hiber World,,Hiber,374,Direct match or manual
High School Esports League,1936.0,IMPORTED,High School Esports League,HSEL,,1923,Direct match or manual
Hike,2001.0,IMPORTED,Hike,,,2062,Direct match or manual
Hilmar Veigar Petursson,9699.0,IS INCOMPLETE,Hilmar Veigar Petursson,,,1328,Direct match or manual
HippoJoy,8641.0,IS INCOMPLETE,HippoJoy,,,3061,Direct match or manual
Hiro Capital,54.0,ENABLED,Hiro Capital,,,"837, 842, 2081, 2420",Direct match or manual
Holdem Capital,9378.0,IS INCOMPLETE,Holdem Capital,,,2482,Direct match or manual
Horizons Ventures,3543.0,ENABLED,Horizons Ventures,,,3526,Direct match or manual
Hornbill Capital Advisers,8524.0,IS INCOMPLETE,Hornbill Capital Advisers,,,786,Direct match or manual
Hoss,1706.0,IMPORTED,Hoss,,,1411,Direct match or manual
Huobi Group,8999.0,IS INCOMPLETE,Huobi Group,,,"1070, 1186",Direct match or manual
Huobi Ventures,8909.0,IS INCOMPLETE,Huobi Ventures,,,"1612, 1851",Direct match or manual
Huuuge Games,315.0,ENABLED,Huuuge Games,"WSE:HUGE, Huuuge","Huuuge Games (WSE:HUGE),Big Bets (Huuuge Games)",822,Direct match or manual
Huya,1303.0,ENABLED,Huya,,"Huya (Tencent),Huya (Tencent Holdings)","746, 2688",Direct match or manual
Hybe IM,1050.0,ENABLED,Hybe IM,,,3881,Direct match or manual
HyperX,1603.0,ENABLED,HyperX,HyperX Gaming,,1105,Direct match or manual
Hyperion Realms,2167.0,IMPORTED,Hyperion Realms,,,2415,Direct match or manual
Hypersphere Ventures,9503.0,IS INCOMPLETE,Hypersphere Ventures,,,1254,Direct match or manual
Hyphen Capital,10436.0,IS INCOMPLETE,Hyphen Capital,,,3843,Direct match or manual
Hypothetic,2135.0,IMPORTED,Hypothetic,,,2358,Direct match or manual
IBC group,7877.0,IS INCOMPLETE,IBC group,,,3923,Direct match or manual
ID Planet,1033.0,IMPORTED,ID Planet,,,3525,Direct match or manual
IGG China,8100.0,IS INCOMPLETE,IGG China,,,418,Direct match or manual
IMPACT46,55.0,ENABLED,IMPACT46,,,"4095, 4145, 4146, 4148, 4149, 4167",Direct match or manual
INK Games,3427.0,IMPORTED,INK Games,,,2236,Direct match or manual
IOSG Ventures,3787.0,ENABLED,IOSG Ventures,,,"1982, 3358",Direct match or manual
Ice Tea Labs,8701.0,IS INCOMPLETE,Ice Tea Labs,,,"1459, 1522",Direct match or manual
Iconic Arts,3096.0,IMPORTED,Iconic Arts,,,3379,Direct match or manual
Ignis,3306.0,IMPORTED,Ignis,,,1769,Direct match or manual
Illuvium Labs,737.0,IMPORTED,Illuvium Labs,,,883,Direct match or manual
ImbaTV,2288.0,IMPORTED,ImbaTV,,,2688,Direct match or manual
Imec Istart,3753.0,ENABLED,Imec Istart,,,4152,Direct match or manual
Immortals Gaming Club,2973.0,IMPORTED,Immortals Gaming Club,,,547,Direct match or manual
Immutable,908.0,ENABLED,Immutable,Immutable X,,3962,Direct match or manual
Immy,1359.0,IMPORTED,Immy,,Immy Inc.,523,Direct match or manual
Improbable,2144.0,ENABLED,Improbable,,,59,Direct match or manual
Incubate Fund,10059.0,IS INCOMPLETE,Incubate Fund,,,429,Direct match or manual
Index Ventures,372.0,ENABLED,Index Ventures,,,1646,Direct match or manual
IndieBI,1764.0,IMPORTED,IndieBI,,,1542,Direct match or manual
Indigo Pearl,1415.0,IMPORTED,Indigo Pearl,,,654,Direct match or manual
Industrial Technology and Witchcraft,1957.0,IMPORTED,Industrial Technology and Witchcraft,,,1965,Direct match or manual
Infinity Plus Two,1439.0,IMPORTED,Infinity Plus Two,,,702,Direct match or manual
Infinity Ventures Crypto,3731.0,ENABLED,Infinity Ventures Crypto,IVC,,"3960, 4125, 4075",Direct match or manual
Influenceink,1638.0,IMPORTED,Influenceink,,,1203,Direct match or manual
Initial Capital,57.0,ENABLED,Initial Capital,,,1328,Direct match or manual
Innovate UK,8295.0,IS INCOMPLETE,Innovate UK,,,4131,Direct match or manual
Insight Partners,324.0,ENABLED,Insight Partners,,,3933,Direct match or manual
Integrated Reality Labs,2829.0,IMPORTED,Integrated Reality Labs,,,3937,Direct match or manual
Intel Capital,9142.0,IS INCOMPLETE,Intel Capital,,,667,Direct match or manual
Intiny,1112.0,IMPORTED,Intiny,,,3061,Direct match or manual
Investinor,11192.0,IS INCOMPLETE,Investinor,,,50,Direct match or manual
Investment Technology Group,11302.0,IS INCOMPLETE,Investment Technology Group,,,144,Direct match or manual
IoTeX,7845.0,IS INCOMPLETE,IoTeX,,,1459,Direct match or manual
Irongrey,10170.0,IS INCOMPLETE,Irongrey,,,475,Direct match or manual
Irreverent Labs,927.0,IMPORTED,Irreverent Labs,,,2057,Direct match or manual
Iskra,741.0,ENABLED,Iskra,,,"3360, 3615",Direct match or manual
J.P. Morgan,288.0,ENABLED,J.P. Morgan,,JPMorgan Chase Bank,3523,Direct match or manual
JAFCO Group,9409.0,IS INCOMPLETE,JAFCO Group,,,3970,Direct match or manual
JPUniverse,611.0,IMPORTED,JPUniverse,,,3055,Direct match or manual
Jeffrey Zirlin,9674.0,IS INCOMPLETE,Jeffrey Zirlin,,,1254,Direct match or manual
Jeremy Stoppelman,10754.0,IS INCOMPLETE,Jeremy Stoppelman,,,453,Direct match or manual
Jerwei Media,2542.0,IMPORTED,Jerwei Media,,,3288,Direct match or manual
Jets Capital,9488.0,IS INCOMPLETE,Jets Capital,,,4125,Direct match or manual
Jiu Zun Digital,1157.0,IMPORTED,Jiu Zun Digital,Jiu Zun Digital Interactive Entertainment Group,Jiu Zun Digital Interactive Entertainment Group Holdings Limited (SEHK:1961),94,Direct match or manual
John Salter,9704.0,IS INCOMPLETE,John Salter,,,1328,Direct match or manual
Joinco Games,2747.0,IMPORTED,Joinco Games,,,3741,Direct match or manual
Joyride Games,955.0,IMPORTED,Joyride Games,,,2103,Direct match or manual
Joystick,3857.0,ENABLED,Joystick,Joystick Games,,2078,Direct match or manual
Jump Capital,8977.0,IS INCOMPLETE,Jump Capital,,,2114,Direct match or manual
Jump Crypto,3504.0,ENABLED,Jump Crypto,Jump Trading,,2062,Direct match or manual
Jumpgate,2583.0,IMPORTED,Jumpgate,NGM:GATE,Jumpgate (NGM:GATE),3389,Direct match or manual
Jungle,2292.0,IMPORTED,Jungle,,,2693,Direct match or manual
Justin Kan,3585.0,ENABLED,Justin Kan,,,640,Direct match or manual
Justin Simons,8842.0,IS INCOMPLETE,Justin Simons,,,2215,Direct match or manual
Justin Waldron,8982.0,IS INCOMPLETE,Justin Waldron,,,640,Direct match or manual
K300 Ventures,7954.0,IS INCOMPLETE,K300 Ventures,,,3733,Direct match or manual
KC Ventures,10485.0,IS INCOMPLETE,KC Ventures,,,3881,Direct match or manual
KNET Venture Fund,10169.0,IS INCOMPLETE,KNET Venture Fund,,,475,Direct match or manual
KPIT Technologies,8515.0,IS INCOMPLETE,KPIT Technologies,,,3116,Direct match or manual
Kadokawa,753.0,IMPORTED,Kadokawa,"TYO: 9468, 9468.TYO, Kadokawa Corporation","Kadokawa Corporation (TYO: 9468),Kadokawa Corporation (9468.TYO)","770, 3920, 3386",Direct match or manual
Kaedim,853.0,IMPORTED,Kaedim,,,797,Direct match or manual
Kakao Games,167.0,ENABLED,Kakao Games,KOSDAQ:A293490,Kakao Games (KOSDAQ: 293490),"420, 3541",Direct match or manual
Kakao VX,1393.0,IMPORTED,Kakao VX,,,600,Direct match or manual
Kalaari Capital,3638.0,ENABLED,Kalaari Capital,,,404,Direct match or manual
Kalypso Media,8397.0,IS INCOMPLETE,Kalypso Media,,,1902,Direct match or manual
Karatage,9625.0,IS INCOMPLETE,Karatage,,,2693,Direct match or manual
Kenzo Ventures,9788.0,IS INCOMPLETE,Kenzo Ventures,,,1973,Direct match or manual
Kevin Lin,3777.0,ENABLED,Kevin Lin,,,"373, 2666",Direct match or manual
Key1 Capital,11159.0,IS INCOMPLETE,Key1 Capital,,,2535,Direct match or manual
Keywords Studios,66.0,ENABLED,Keywords Studios,,,"208, 2915, 654",Direct match or manual
Kinda Brave,2609.0,IMPORTED,Kinda Brave,,,3439,Direct match or manual
Kingsway Capital,3487.0,ENABLED,Kingsway Capital,,Kingsway,"1070, 1186, 2198, 3450",Direct match or manual
Kiraboshi Capital,10629.0,IS INCOMPLETE,Kiraboshi Capital,,,1769,Direct match or manual
Knollwood Advisory,11202.0,IS INCOMPLETE,Knollwood Advisory,,,2081,Direct match or manual
Kona Venture Partners,9559.0,IS INCOMPLETE,Kona Venture Partners,,,3881,Direct match or manual
Kong Studios,3019.0,IMPORTED,Kong Studios,,,"1321, 2777",Direct match or manual
Konstantin Koos,8157.0,IS INCOMPLETE,Konstantin Koos,,,1958,Direct match or manual
Konvoy Ventures,59.0,ENABLED,Konvoy Ventures,Konvoy,,"4052, 374, 1664, 3124, 4084",Direct match or manual
Kool2Play,1240.0,IMPORTED,Kool2Play,Kool2Play Sp. z o.o.,,274,Direct match or manual
Krafton,243.0,ENABLED,Krafton,,,"2300, 3348",Direct match or manual
Kratos Studios,2271.0,ENABLED,Kratos Studios,Kratos Gamer Network,"Kratos Gamer Network,Kratos Gamer Network (KGeN)","2659, 3763, 2654",Direct match or manual
"Kukouri Mobile - Pixel Worlds, Tiny Troopers (IP sale)",2791.0,ENABLED,"Kukouri Mobile - Pixel Worlds, Tiny Troopers (IP sale)","Pixel Worlds, Tiny Troopers","Pixel Worlds, Tiny Troopers IPs",3859,Direct match or manual
Kusabi,9380.0,IS INCOMPLETE,Kusabi,,,2482,Direct match or manual
Kuuhubb,676.0,IMPORTED,Kuuhubb,TSX-V: KUU,Kuuhubb (TSX-V: KUU),"28, 459, 884",Direct match or manual
Kwalee,8059.0,IS INCOMPLETE,Kwalee,,,3509,Direct match or manual
Kyber Ventures,9111.0,IS INCOMPLETE,Kyber Ventures,,,4062,Direct match or manual
Kyle Van Noy,8839.0,IS INCOMPLETE,Kyle Van Noy,,,2215,Direct match or manual
Kyros Ventures,8888.0,IS INCOMPLETE,Kyros Ventures,,,"1459, 2114",Direct match or manual
Kyushu Technology,1245.0,IMPORTED,Kyushu Technology,Guangzhou Huanyu Kyushu Technology,"Guangzhou Huanyu Kyushu Technology Co., Ltd",283,Direct match or manual
L3E7,2565.0,IMPORTED,L3E7,,,3352,Direct match or manual
L3V3L,2209.0,IMPORTED,L3V3L,,,2511,Direct match or manual
LCV Fund,9170.0,IS INCOMPLETE,LCV Fund,,,"1070, 1186",Direct match or manual
LD Capital,413.0,ENABLED,LD Capital,,,"1982, 2782",Direct match or manual
LDA Capital,8345.0,IS INCOMPLETE,LDA Capital,LDA Capital Limited,,2515,Direct match or manual
LDC,8015.0,IS INCOMPLETE,LDC,,,1386,Direct match or manual
LG Tech Ventures,10355.0,IS INCOMPLETE,LG Tech Ventures,,,3450,Direct match or manual
Lab Cave,1843.0,IMPORTED,Lab Cave,,,1695,Direct match or manual
Laguna Investment,10498.0,IS INCOMPLETE,Laguna Investment,,,3881,Direct match or manual
Lakestar,3473.0,ENABLED,Lakestar,,,1328,Direct match or manual
Lancer Capital,9540.0,IS INCOMPLETE,Lancer Capital,,,4061,Direct match or manual
Lanslot,1152.0,IMPORTED,Lanslot,,,88,Direct match or manual
Latent Technology,2250.0,IMPORTED,Latent Technology,,,4070,Direct match or manual
Legendary Gaming Group,2789.0,IMPORTED,Legendary Gaming Group,LGG,Legendary Gaming Group (LGG),3854,Direct match or manual
Lemniscap,9260.0,IS INCOMPLETE,Lemniscap,,,4116,Direct match or manual
Li Jin,10748.0,IS INCOMPLETE,Li Jin,,,453,Direct match or manual
Liberty City Ventures,3479.0,ENABLED,Liberty City Ventures,,,"1186, 2198",Direct match or manual
Liberty Pixel,2575.0,IMPORTED,Liberty Pixel,,,4141,Direct match or manual
Lichthund Studio,2587.0,IMPORTED,Lichthund Studio,,,3394,Direct match or manual
Liftoff,377.0,ENABLED,Liftoff,,,674,Direct match or manual
LightWork Worldwide,8847.0,IS INCOMPLETE,LightWork Worldwide,,,2215,Direct match or manual
Lightbox,9608.0,IS INCOMPLETE,Lightbox,,,2819,Direct match or manual
Lightning Capital,8446.0,IS INCOMPLETE,Lightning Capital,,,2854,Direct match or manual
Lightspeed Venture Partners,83.0,ENABLED,Lightspeed Venture Partners,Lightspeed Ventures,,1500,Direct match or manual
Lilith Games,3739.0,ENABLED,Lilith Games,,,3128,Direct match or manual
Lionel Messi,8145.0,IS INCOMPLETE,Lionel Messi,,,2450,Direct match or manual
Liquid Media Group,3094.0,IMPORTED,Liquid Media Group,NASDAQ: YVR,Liquid Media Group (NASDAQ: YVR),917,Direct match or manual
Live Tech Games,869.0,IMPORTED,Live Tech Games,,,961,Direct match or manual
Lobby Capital,10710.0,IS INCOMPLETE,Lobby Capital,,,2419,Direct match or manual
London Venture Partners,84.0,ENABLED,London Venture Partners,LVP,,"73, 837, 4095",Direct match or manual
Long Journey Ventures,9894.0,IS INCOMPLETE,Long Journey Ventures,,,4055,Direct match or manual
Longdue,2723.0,IMPORTED,Longdue,,,3694,Direct match or manual
Longjiang Network,2280.0,IMPORTED,Longjiang Network,,,2676,Direct match or manual
Lont Games,2952.0,IMPORTED,Lont Games,,,3338,Direct match or manual
Loreworx,2355.0,IMPORTED,Loreworx,,,2844,Direct match or manual
Loric Games,3101.0,IMPORTED,Loric Games,,,2420,Direct match or manual
Love Games,3305.0,IMPORTED,Love Games,Yuefu Interactive Entertainment,,846,Direct match or manual
Lucid Blue Ventures,8820.0,IS INCOMPLETE,Lucid Blue Ventures,,,1459,Direct match or manual
Lucid Sight,1612.0,IMPORTED,Lucid Sight,,,1132,Direct match or manual
Luckbox,3388.0,IMPORTED,Luckbox,,,878,Direct match or manual
Lucra Sports,3435.0,IMPORTED,Lucra Sports,,,3788,Direct match or manual
Ludlow Ventures,10938.0,IS INCOMPLETE,Ludlow Ventures,,,140,Direct match or manual
Ludus Ventures,85.0,ENABLED,Ludus Ventures,,,"4110, 4147",Direct match or manual
Lumi Interactive,2036.0,IMPORTED,Lumi Interactive,,,2155,Direct match or manual
Luminar Ventures,10421.0,IS INCOMPLETE,Luminar Ventures,,,"374, 4092",Direct match or manual
Lux Capital,3542.0,ENABLED,Lux Capital,,,475,Direct match or manual
M-XR,1982.0,IMPORTED,M-XR,,,2025,Direct match or manual
MARBLEX,9707.0,IS INCOMPLETE,MARBLEX,,,"3358, 3962",Direct match or manual
MGVC (MY.GAMES),10414.0,IS INCOMPLETE,MGVC (MY.GAMES),,,"1367, 1597, 2589",Direct match or manual
MHG Technologies,1543.0,IMPORTED,MHG Technologies,Hunter Games,MHG Technologies (Hunter Games),970,Direct match or manual
MOBOX,9662.0,IS INCOMPLETE,MOBOX,,,1612,Direct match or manual
MSA Novo,8089.0,IS INCOMPLETE,MSA Novo,,,2145,Direct match or manual
MYBO Game,2999.0,IMPORTED,MYBO Game,MYBO,,376,Direct match or manual
MZ Web3 fund,9382.0,IS INCOMPLETE,MZ Web3 fund,,,2482,Direct match or manual
Macovill,823.0,IMPORTED,Macovill,,,3881,Direct match or manual
Madrona Venture Group,10334.0,IS INCOMPLETE,Madrona Venture Group,,,1646,Direct match or manual
Magic Eden,9538.0,IS INCOMPLETE,Magic Eden,,,"2739, 2799",Direct match or manual
Magic Potion Games,465.0,IMPORTED,Magic Potion Games,,,3263,Direct match or manual
Mail.ru Group,1321.0,IMPORTED,Mail.ru Group,LSE:MAIL,Mail.ru Group Limited (LSE:MAIL),455,Direct match or manual
Makers Fund,88.0,ENABLED,Makers Fund,,,"140, 404, 1500, 1970",Direct match or manual
Making Fun,2258.0,IMPORTED,Making Fun,,,2624,Direct match or manual
Malabar Investment,11181.0,IS INCOMPLETE,Malabar Investment,,,1964,Direct match or manual
Mamboo Entertianment,751.0,ENABLED,Mamboo Entertianment,Mamboo Games,"Mamboo Entertianment (Mamboo Games),Mamboo Games Founders",4119,Direct match or manual
Mapleblock Capital,9029.0,IS INCOMPLETE,Mapleblock Capital,,,3356,Direct match or manual
March Capital Partners,3667.0,ENABLED,March Capital Partners,,,547,Direct match or manual
March Gaming,9632.0,IS INCOMPLETE,March Gaming,,,1176,Direct match or manual
Mario Suarez,9859.0,IS INCOMPLETE,Mario Suarez,,,1536,Direct match or manual
Mark Kingdon,7911.0,IS INCOMPLETE,Mark Kingdon,,,1462,Direct match or manual
Mark Pincus,9454.0,IS INCOMPLETE,Mark Pincus,,,"640, 1286",Direct match or manual
Market One Capital,9287.0,IS INCOMPLETE,Market One Capital,,,2781,Direct match or manual
Marmalade Games,1701.0,IMPORTED,Marmalade Games,,,1386,Direct match or manual
Mask Network,8987.0,IS INCOMPLETE,Mask Network,,,1701,Direct match or manual
Master Ventures,9219.0,IS INCOMPLETE,Master Ventures,,,2799,Direct match or manual
Matr1x,729.0,IMPORTED,Matr1x,,,3147,Direct match or manual
Matrix Partners,3529.0,ENABLED,Matrix Partners,,"Matrix Partners India,Matrix Partners China",1741,Direct match or manual
Matter Labs,9028.0,IS INCOMPLETE,Matter Labs,,,3356,Direct match or manual
Maverick Games,575.0,IMPORTED,Maverick Games,,,2549,Direct match or manual
Mechanism Capital,7941.0,IS INCOMPLETE,Mechanism Capital,,,2666,Direct match or manual
Medal.tv,745.0,ENABLED,Medal.tv,,,3526,Direct match or manual
Medieval Empires,2335.0,IMPORTED,Medieval Empires,,,2795,Direct match or manual
Mega Cat Studios,3077.0,IMPORTED,Mega Cat Studios,,,2592,Direct match or manual
MegaFans,687.0,IMPORTED,MegaFans,Mobile eSports Gaming Fanatics,MegaFans (Mobile eSports Gaming Fanatics),95,Direct match or manual
Megala Ventures,8871.0,IS INCOMPLETE,Megala Ventures,,,1459,Direct match or manual
Megazone Cloud,8590.0,IS INCOMPLETE,Megazone Cloud,,,2729,Direct match or manual
Menlo Ventures,427.0,ENABLED,Menlo Ventures,,,3248,Direct match or manual
Merak Capital,8747.0,IS INCOMPLETE,Merak Capital,,,"4148, 4149, 4167, 4168",Direct match or manual
Merit Circle,410.0,ENABLED,Merit Circle,Beam,,"4098, 2666, 2782",Direct match or manual
Meta Games,3140.0,ENABLED,Meta Games,,,366,Direct match or manual
MetaGoons,528.0,IMPORTED,MetaGoons,,,1725,Direct match or manual
MetaGravity.org,2328.0,IMPORTED,MetaGravity.org,,,2781,Direct match or manual
MetaShot,3205.0,IMPORTED,MetaShot,,,4076,Direct match or manual
MetaTrace,2897.0,IMPORTED,MetaTrace,,,"2365, 3335",Direct match or manual
Metacore,3055.0,IMPORTED,Metacore,,,3022,Direct match or manual
Metacorn Games,435.0,IMPORTED,Metacorn Games,,,2262,Direct match or manual
Metapurse,9231.0,IS INCOMPLETE,Metapurse,,,"1070, 1186",Direct match or manual
Metrix Capital,9176.0,IS INCOMPLETE,Metrix Capital,,,1459,Direct match or manual
MiAO,2282.0,IMPORTED,MiAO,,,4144,Direct match or manual
Microgravity,1512.0,IMPORTED,Microgravity,,,886,Direct match or manual
Midnight,3856.0,ENABLED,Midnight,"Midnight.io, Midnight Evergreen",,2485,Direct match or manual
Midnight Society,1000.0,IMPORTED,Midnight Society,,,"2656, 3569",Direct match or manual
Midwest Games,1026.0,IMPORTED,Midwest Games,,,3242,Direct match or manual
