current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Capital Factory,9104.0,IS INCOMPLETE,Capital Factory,,,2274,Direct match or manual
Carlos Sainz,9858.0,IS INCOMPLETE,Carlos Sainz,,,1536,Direct match or manual
Cartwheel,2614.0,IMPORTED,Cartwheel,,,4028,Direct match or manual
Cerberus Interactive,1322.0,IMPORTED,Cerberus Interactive,,,456,Direct match or manual
Cfx.re,2396.0,IMPORTED,Cfx.re,,,2947,Direct match or manual
Chain Hill Capital,7875.0,IS INCOMPLETE,Chain Hill Capital,,,2984,Direct match or manual
ChallengerMode,466.0,ENABLED,ChallengerMode,,,3728,Direct match or manual
Chamaeleon,10231.0,IS INCOMPLETE,Chamaeleon,,,4095,Direct match or manual
Character Bank,716.0,IMPORTED,Character Bank,,,"2784, 2780",Direct match or manual
Charlie Songhurst,9330.0,IS INCOMPLETE,Charlie Songhurst,,,2666,Direct match or manual
Cherry,1626.0,IMPORTED,Cherry,XTRA:C3RY,Cherry AG (XTRA:C3RY),1170,Direct match or manual
Chess.com,159.0,ENABLED,Chess.com,,,1700,Direct match or manual
Chibi Clash,11478.0,ENABLED,Chibi Clash,,,2114,Direct match or manual
Chris Lee,9712.0,IS INCOMPLETE,Chris Lee,,,1328,Direct match or manual
Ciprian Man,8328.0,IS INCOMPLETE,Ciprian Man,,,315,Direct match or manual
Clipwire Games,1144.0,IMPORTED,Clipwire Games,,,66,Direct match or manual
Cloud Imperium Games,1183.0,IMPORTED,Cloud Imperium Games,,,144,Direct match or manual
Coatue Management,375.0,ENABLED,Coatue Management,,,1646,Direct match or manual
Coco Park,2721.0,IMPORTED,Coco Park,,,3691,Direct match or manual
Coda Payments,333.0,ENABLED,Coda Payments,,,4120,Direct match or manual
Coddy Johnson,9583.0,IS INCOMPLETE,Coddy Johnson,,,3102,Direct match or manual
Coffee Stain (Embracer Group (STO: EMBRAC B)),8776.0,IS INCOMPLETE,Coffee Stain & Friends,"Coffee Stain, Coffee Stain North",Coffee Stain (Embracer Group (STO: EMBRAC B)),4178,Direct match or manual
Cogitent Ventures,7959.0,IS INCOMPLETE,Cogitent Ventures,,,"2781, 3356",Direct match or manual
CohhCarnage,9714.0,IS INCOMPLETE,CohhCarnage,,,3248,Direct match or manual
CoinCu Ventures,10301.0,IS INCOMPLETE,CoinCu Ventures,,,1522,Direct match or manual
CoinFund,3626.0,ENABLED,CoinFund,,,"1462, 4086, 4098",Direct match or manual
Coinbase Ventures,347.0,ENABLED,Coinbase Ventures,,,"1033, 2666, 4090",Direct match or manual
Collab+Currency,3592.0,ENABLED,Collab+Currency,Collab Currency,,"1462, 2175",Direct match or manual
Coly,1060.0,IMPORTED,Coly,TSE:4175,Coly Inc. (TSE:4175),844,Direct match or manual
Com2uS Corporation (KOSDAQ:A078340),10507.0,IS INCOMPLETE,Com2uS Corporation (KOSDAQ:A078340),,,46,Direct match or manual
Comma3 Ventures,7969.0,IS INCOMPLETE,Comma3 Ventures,,,3962,Direct match or manual
Compute Ventures,9354.0,IS INCOMPLETE,Compute Ventures,,,4058,Direct match or manual
Concept Art House,1721.0,ENABLED,Concept Art House,,,2215,Direct match or manual
Conical,1951.0,IMPORTED,Conical,,,1958,Direct match or manual
Connecting Happines,1332.0,IMPORTED,Connecting Happines,,,479,Direct match or manual
Copresence,2438.0,IMPORTED,Copresence,,,3039,Direct match or manual
Corazon Capital,9588.0,IS INCOMPLETE,Corazon Capital,,,3102,Direct match or manual
Corsair Gaming,829.0,ENABLED,Corsair Gaming,"NASDAQ:CRSR, Corsair, NasdaqGS:CRSR","Corsair Gaming (NasdaqGS:CRSR),Corsair Gaming,Inc. (NASDAQ:CRSR)","457, 707",Direct match or manual
Cosmic Launge,589.0,IMPORTED,Cosmic Launge,,,2785,Direct match or manual
Cosmic Summit Investments Limited,9833.0,IS INCOMPLETE,Cosmic Summit Investments Limited,,,2198,Direct match or manual
Courtside Ventures,22.0,ENABLED,Courtside Ventures,,CourtsideVC,"404, 2659, 2756, 1176",Direct match or manual
Cox Enterprises,3534.0,ENABLED,Cox Enterprises,,,1285,Direct match or manual
Crew Studio,3032.0,IMPORTED,Crew Studio,,,607,Direct match or manual
Cristian Manea,7864.0,IS INCOMPLETE,Cristian Manea,,,2782,Direct match or manual
Crit Ventures,9596.0,IS INCOMPLETE,Crit Ventures,,,4116,Direct match or manual
Critical Force,1442.0,IMPORTED,Critical Force,,,711,Direct match or manual
Cross Reality,2736.0,IMPORTED,Cross Reality,,,3722,Direct match or manual
Crowberry Capital,9422.0,IS INCOMPLETE,Crowberry Capital,,,1767,Direct match or manual
Crypto Vietnam,9785.0,IS INCOMPLETE,Crypto Vietnam,,,1973,Direct match or manual
Crypto.com Capital,3791.0,ENABLED,Crypto.com Capital,,,3356,Direct match or manual
Cryptyd,2140.0,IMPORTED,Cryptyd,,,2366,Direct match or manual
Cudo,1779.0,IMPORTED,Cudo,,,1571,Direct match or manual
Cyberathlete Professional,8490.0,IS INCOMPLETE,Cyberathlete Professional,,,1316,Direct match or manual
D4 Enterprise,1249.0,IMPORTED,D4 Enterprise,,,296,Direct match or manual
DCF God,8993.0,IS INCOMPLETE,DCF God,,,3356,Direct match or manual
DNABLOCK,905.0,IMPORTED,DNABLOCK,,,1326,Direct match or manual
DNB Bank,11096.0,IS INCOMPLETE,DNB Bank,,,3523,Direct match or manual
DWF Labs,8994.0,IS INCOMPLETE,DWF Labs,,,3356,Direct match or manual
Daily E-Sports,2309.0,IMPORTED,Daily E-Sports,,,2736,Direct match or manual
Dalongyun Technology,1226.0,IMPORTED,Dalongyun Technology,,,251,Direct match or manual
Dapper Labs,698.0,ENABLED,Dapper Labs,,,"2098, 1033, 1462",Direct match or manual
Dardo Studios,2699.0,IMPORTED,Dardo Studios,,,3643,Direct match or manual
Dark Point Games,2715.0,IMPORTED,Dark Point Games,WSE: DPG,Dark Point Games (WSE: DPG),3684,Direct match or manual
Dark Slope,1270.0,IMPORTED,Dark Slope,DarkSlope Studios,,332,Direct match or manual
Daxe Games,1059.0,IMPORTED,Daxe Games,,,552,Direct match or manual
Day One Ventures,9935.0,IS INCOMPLETE,Day One Ventures,,,4084,Direct match or manual
DeVC,10677.0,IS INCOMPLETE,DeVC,,,4135,Direct match or manual
Decart,3182.0,ENABLED,Decart,,,4143,Direct match or manual
DeepMotion,2297.0,IMPORTED,DeepMotion,,,2707,Direct match or manual
Delabs Games,735.0,IMPORTED,Delabs Games,,,4125,Direct match or manual
Delphi Digital,3650.0,ENABLED,Delphi Digital,,,"1982, 2666, 2693",Direct match or manual
Delphi Interactive,1891.0,IMPORTED,Delphi Interactive,,,1818,Direct match or manual
Demolish Games,855.0,IMPORTED,Demolish Games,,,825,Direct match or manual
Denlow Private Trust,9820.0,IS INCOMPLETE,Denlow Private Trust,,,2819,Direct match or manual
Dennis Fong,9329.0,IS INCOMPLETE,Dennis Fong,,,2666,Direct match or manual
Devolver Digital,391.0,ENABLED,Devolver Digital,,Devolver Digital (LON: DEVO),"3508, 3509",Direct match or manual
Dialectic,8832.0,IS INCOMPLETE,Dialectic,,,1986,Direct match or manual
Digi-Capital Platform,1170.0,IMPORTED,Digi-Capital Platform,Digi-Capital,Investment Data Platform from Digi-Capital,116,Direct match or manual
Digital Bros (MIL: DIB),8649.0,IS INCOMPLETE,Digital Bros (MIL: DIB),,,82,Direct match or manual
