TRANSACTION_ID,DATE,AMOUNT,ROUND,CATEGORY,STATUS,SOURCE,ORIGINAL_IG_INDEX,ORIGINAL_IG_ID,TARGET_COMPANY_ID,TARGET_COMPANY_NAME,INVESTORS_COUNT,INVESTOR_1_ID,INVESTOR_1_NAME,INVESTOR_1_ROLE,INVESTOR_2_ID,INVESTOR_2_NAME,INVESTOR_2_ROLE,INVESTOR_3_ID,INVESTOR_3_NAME,INVESTOR_3_ROLE,INVESTOR_4_ID,INVESTOR_4_NAME,INVESTOR_4_ROLE,INVESTOR_5_ID,INVESTOR_5_NAME,INVESTOR_5_ROLE,INVESTOR_6_ID,INVESTOR_6_NAME,INVESTOR_6_ROLE,INVESTOR_7_ID,INVESTOR_7_NAME,INVESTOR_7_ROLE,INVESTOR_8_ID,INVESTOR_8_NAME,INVESTOR_8_ROLE,INVESTOR_9_ID,INVESTOR_9_NAME,INVESTOR_9_ROLE,INVESTOR_10_ID,INVESTOR_10_NAME,INVESTOR_10_ROLE,INVESTOR_11_ID,INVESTOR_11_NAME,INVESTOR_11_ROLE,INVESTOR_12_ID,INVESTOR_12_NAME,INVESTOR_12_ROLE,INVESTOR_13_ID,INVESTOR_13_NAME,INVESTOR_13_ROLE,INVESTOR_14_ID,INVESTOR_14_NAME,INVESTOR_14_ROLE,INVESTOR_15_ID,INVESTOR_15_NAME,INVESTOR_15_ROLE,INVESTOR_16_ID,INVESTOR_16_NAME,INVESTOR_16_ROLE,INVESTOR_17_ID,INVESTOR_17_NAME,INVESTOR_17_ROLE,INVESTOR_18_ID,INVESTOR_18_NAME,INVESTOR_18_ROLE,INVESTOR_19_ID,INVESTOR_19_NAME,INVESTOR_19_ROLE,INVESTOR_20_ID,INVESTOR_20_NAME,INVESTOR_20_ROLE,INVESTOR_21_ID,INVESTOR_21_NAME,INVESTOR_21_ROLE,INVESTOR_22_ID,INVESTOR_22_NAME,INVESTOR_22_ROLE,INVESTOR_23_ID,INVESTOR_23_NAME,INVESTOR_23_ROLE
IG_736,03/03/2025,0.0,m&a control (incl. lbo/mbo),M&A,IMPORTED,InvestGame,736,3916,[1332]TBC,Adact,1,[1333]TBC,Optimove,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_737,04/03/2025,39.3,pipe,Public offering,IMPORTED,InvestGame,737,3920,[273]TBC,Kadokawa Corporation,1,[4]TBC,Tencent (SEHK: 700),lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_738,04/03/2025,0.0,seed,Early-stage investment,IMPORTED,InvestGame,738,3922,[1334]TBC,Studio Sasanqua,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_739,05/03/2025,3.0,seed,Early-stage investment,IMPORTED,InvestGame,739,3923,[1335]TBC,iAgent Protocol,11,[1336]TBC,Double Jump.Tokyo (DJT),lead,[1337]TBC,PG Capital,participant,[1338]TBC,Q42,participant,[1339]TBC,IBC Group,participant,[1340]TBC,Team Alliance,participant,[1341]TBC,Frekaz Group,participant,[1342]TBC,Cointribune,participant,[1063]TBC,Expert Dojo,participant,[1343]TBC,dingaling,participant,[1344]TBC,Grail eth,participant,[1345]TBC,Zeneca,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_740,07/03/2025,5.9,listing (ipo/spac),Public offering,IMPORTED,InvestGame,740,3929,[833]TBC,Brag House,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_741,11/03/2025,12.75,undisclosed late-stage,Late-stage investment,IMPORTED,InvestGame,741,3933,[1346]TBC,Pragma,4,[682]TBC,Square Enix,lead,[1347]TBC,Greylock Partners,participant,[1348]TBC,Upfront Ventures,participant,[1349]TBC,Insight Partners,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_742,11/03/2025,1.5,seed,Early-stage investment,IMPORTED,InvestGame,742,3937,[1350]TBC,Integrated Reality Labs,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_743,12/03/2025,4.0,seed,Early-stage investment,IMPORTED,InvestGame,743,3941,[1351]TBC,Wolf Games,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_744,13/03/2025,0.0,growth / expansion (not specified),Late-stage investment,IMPORTED,InvestGame,744,3945,[1352]TBC,Blackbird Interactive,1,[774]TBC,Emona Capital,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_745,14/03/2025,1.0,seed,Early-stage investment,IMPORTED,InvestGame,745,3946,[1353]TBC,Sugarverse,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
