id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,investor_role
,ENABLED,EmptyVessel,,,Strategic / CVC,2021,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"EmptyVessel, USA, North America",https://www.emptyvessel.io/,4058,TARGET
,ENABLED,Enad Global 7,,Enad Global 7 (ST: EG7),Strategic / CVC,2013,Sweden,Nordic Countries,Public,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,6,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"Enad Global 7, Sweden, Nordic Countries",https://www.enadglobal7.com/,"177, 458","TARGET, TARGET"
,IMPORTED,Encultured AI,,,Strategic / CVC,2021,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,AI/ML,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Encultured AI, USA, North America",https://www.encultured.ai/index.html#home,2681,TARGET
,ENABLED,Engine Gaming & Media,"TSXV:GAME, Engine gaming and media","Engine Media (TSXV:GAME),Engine gaming and media (TSXV: GAME)",Strategic / CVC,2011,Canada,North America,Private,Esports,Esports,,Generalist,,TES,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Engine Gaming & Media, Canada, North America",https://www.gamesquare.com/,2757,TARGET
,ENABLED,Engine Gaming & Media,"TSXV:GAME, Engine gaming and media","Engine Media (TSXV:GAME),Engine gaming and media (TSXV: GAME)",Strategic / CVC,2011,Canada,North America,Private,Esports,Esports,,Generalist,,TES,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Engine Gaming & Media, Canada, North America",,"372, 428, 506, 865","TARGET, TARGET, TARGET, TARGET"
,ENABLED,Enthusiast Gaming,TSX: EGLX,Enthusiast Gaming (TSX: EGLX),Strategic / CVC,2014,Canada,North America,Private,Esports,Esports,,Generalist,,,5,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Enthusiast Gaming, Canada, North America",https://www.enthusiastgaming.com/,1138,TARGET
,IMPORTED,Ephyra,,,Strategic / CVC,1800,Vietnam,Asia,Private,Platform & Tech,Platform & Tech,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Ephyra, Vietnam, Asia",https://www.ephyra.ai/,3949,TARGET
,TO BE ENRICHED,Epic Games,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Epic Games,,"564, 2005, 2025, 2772, 3446","lead, lead, lead, lead, lead"
,IMPORTED,Era7,"Era7: Game of Truth, Era7",,Strategic / CVC,2021,Singapore,Southeast Asia,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Era7, Singapore, Southeast Asia",www.era7.io,1612,TARGET
,TO BE ENRICHED,Eric Baker,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Eric Baker,,453,participant
,TO BE ENRICHED,Eros Resmini,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Eros Resmini,,373,lead
,IMPORTED,Esports Entertainment Group,,,Strategic / CVC,2008,Malta,Southern Europe,Private,Esports,Esports,,Generalist,,,1,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Esports Entertainment Group, Malta, Southern Europe",,815,TARGET
,IMPORTED,Ethlas,,,Strategic / CVC,2022,Singapore,Southeast Asia,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Ethlas, Singapore, Southeast Asia",https://ethlas.com/,1970,TARGET
,TO BE ENRICHED,Eurazeo,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Eurazeo,,"2677, 4072","lead, participant"
,TO BE ENRICHED,Everplay,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Everplay,,4111,lead
,ENABLED,Everplay,"LON: TM17, Team 17, Team17 Group",Team 17 (LON: TM17),Strategic / CVC,1990,United Kingdom,British Isles,Public,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,7,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Everplay, United Kingdom, British Isles",https://www.team17groupplc.com/,1698,TARGET
,TO BE ENRICHED,Everse Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Everse Capital,,"1522, 1851","participant, participant"
,IMPORTED,Evertwine,,,Strategic / CVC,2022,Croatia,Southern Europe,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Evertwine, Croatia, Southern Europe",https://evertwine.io/,2982,TARGET
,TO BE ENRICHED,Everyrealm,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Everyrealm,,4125,participant
,IMPORTED,Evo,,,Strategic / CVC,1996,USA,North America,Private,Esports,Esports,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Evo, USA, North America",https://www.evo.gg/,4163,TARGET
,TO BE ENRICHED,Exel by Merak,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Exel by Merak,,"4160, 4169, 4173, 4174","lead, lead, lead, lead"
